r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
129,89,7,129897,marr _n,brown,_ __  _   ___ __  __,brown,dunkel-ocker,dark-ocher,marron,brown,     _,brown,marrone,brown,      ,brown,   ,brown,chocolate brown,brown,hot chocolate,392.82,327.17
130,82,1,130821,cafe,coffee,_ __  _   ___ __  __,brown,braun,brown,marron,brown,     _,brown,marrone,brown,      ,brown,     _,brown,light wood brown,brown,brown-yellow,399.86,328.29
13,9,168,139168,azul,blue,  _ ___ __,blue,blau,blue,id7 fonc  ,dark blue,   ,blue,blu,blue,           _ ,dark blue, __   ,ultramarine,bright light blue,blue,twilight blue,259.31,191.08
14,11,63,141163,azul marino,navy blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 marine,navy blue,        _,navy blue,indaco scuro,blue,       __   ,dark blue,         ,dark blue,dark blue slate,blue,blue,301.34,261.44
14,135,6,141356,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,      ,dark green,verde,green,  _   ,green,   ,green,dark forest green,green,lawn green,272.56,356.69
14,34,27,143427,negro,black,  _ ______-_ _ _ _ __  __,dark green,schwarz,black,noir,black,     _,black,verde,green, _       ,black,   ,black,phatalogen green,black,black,302.25,276.46
14,55,12,145512,verde oscuro sandia,dark green watermelon,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert,green,        _,dense green,verde scuro,green,        _   ,dark green,   ,green,midnight green,forest green,forest green,298.6,297.03
14,6,101,146101,azul,blue,_ _ ___ __,blue,blau,blue,id7 nuit fonc  ,dark blue night,     _,blue,blu,blue,    _    ,blue,   ,blue,goodnight blue,blue,midnight blue,287.8,230.85
147,4,77,147477,morado,purple,_   _   __  __,red,rot,red,violet,violet, _             ,french wines,rosa,pink,     _                 ,very dark pink,  _   ,purplish red,dark red-purple,plum,purple grapes,405.73,247.2
14,77,74,147774,verde oscuro,dark green,__  ___ _ __   _   ____-____    _ ____,soft black-and-sea,dunkelgr _n,dark green,vert fonc  ,dark green:,        _,blue-green,verde oscuro,green,        __      ,dark blue-green,      ,dark green,dark forrest green,navy,dark green,267.61,283.33
15,119,2,151192,verde,green,_ _ _   __  __,green,dunkelgr _n,dark green,vert,green,     _,green,verde scuro,dark green,     _   ,dark green, _       ,dark green,light olive green,green,another green,279.04,355.9
153,9,89,153989,violeta rojo,violet red,_   _   ____ _ __  _   ___ __  __,reddish brown,lila,purple,violet,violet,  _ _         _,medium ruby,fuoco,purple, _       ,red,            ,purple,dark purply rose,pink,purple grapes,406.18,237.25
15,53,34,155334,verde oscuro,dark green,  _ ______ _ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert,green,     _,green,verde,green,       _   _   ,dark green,      ,dark green,hunters coat green,green,green,281.38,288.28
155,5,79,155579,fucsia,fuchsia,__  ___ _ __ _ __  _ __,soft burgundy,dunkelrosa,dark pink,fuchsia,fuchsia, _      _,dark purple,rsso,red pink, _       ,red,  _   ,purplish red,dark pinkish purple,red,almost red,416.58,245.02
15,59,91,155991,azul oscuro,dark blue,  _ ___ __,blue,dunkelblau,dark blue,id7,blue,     _,blue,blu notte,midnight blue,    _ ,blue,     _     _     _           _,dark blue steel,teal in my eye,blue,midnight blue,257.97,258.86
156,7,43,156743,rojo vino,red wine,_   _   __  __,red,weinrot,burgundy,id8,red,     _,red,rosso scuro,dark red,         ,maroon,  _,red,dark reddish pink,red,kiss me red,437.56,269.41
156,98,8,156988,marron,brown,_ __  _   ___ __  __,brown,braun,brown,marron,brown,           _,light brown,marrone,brown,  _   ,brown,   ,brown,sandalwoodbrown,brown,light brown,407.93,336.2
0,158,101,158101,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde,green,         ,green,   _      _,dark green,rich matte green,jade,medium green,194.37,317.31
15,89,80,158980,verde esmeralda oscuro,dark emerald green,___   ______-_ _ _   __  __,matt green,gr _n,green,id7-vert,blue-green,     _,green,verde scuro,dark green,         ,green,  _     _           _  _,green slate,intesive green,green,putty green,248.84,288.16
15,95,91,159591,verde oscuro,dark green,_ _ _ _ _______   __-  _ ___ __,greenish-blue,blaugr _n,blue-green,vert,green,     _,green,verde,green,                ,dark green,   ,green,midnight green,dark green,putty green,239.58,283.59
16,116,2,161162,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,grasgr _n,grass green,vert,green,     _,green,viola,green,         _   ,dark green,     _,green,freshly cut green,green,forest green,289.06,345.84
161,9,63,161963,rojo,red,_ __  _ __,wine,beere,berry,id8 fonc  ,dark red,  _    _      _,bright maroon,rosso scuro,dark red, _       ,red,   ,vermilion,darkened blush,red,kiss me red,430.55,267.35
162,42,8,162428,marron,brown,_   _   __  __,red,rotbraun,maroon,id8,red, _   _,brown,rosso mattone,brick red,      ,brown,     _  _     _     _,red mixed with brown,terra cotta brown,red,pumpkin spice,444.03,301.99
162,8,92,162892,fucsia oscuro,dark pink,___   __  __  __,cherry,passionsrot,passionsrot,violet,violet, _    ,dark purple,melanzana,purple,       _   _   ,deep purple,        _   ,deep pink,luscious magenta,plum,darkest pink,413.33,236.95
163,92,6,163926,marr  n,brown,__    _ ,ocher,braun,brown,marron,brown,    _   _,bright brown,marrone,brown,      ,brown,     _,brown,caramel woods brown,brown,burnt orange,419.55,328.71
164,72,1,164721,greda,clay,  ___   _  _ _   ___   ,burnt umber,braun,brown,marron,brown,     _,brown,marrone,brown,      ,brown,                       _   ,bloody orange,tree trunk brown,brown,burnt orange,400.41,338.51
0,166,212,166212,azul claro,blue,_____   _ ____,blue,hellblau,light blue,id7,blue,     _,blue,blu,blue,      ,blue,     _,light blue,deep turquoise,blue,aqua,146.65,240.52
166,48,6,166486,rojo marron,red brown,_ _   _ _   __  __,brick,rot,red,id8,red, _ ,brown,marone,brown,      ,brown,     _,brown,dark burnt orange,red,burnt orange,450.43,304.51
166,6,76,166676,rosa oscuro,dark pink,  _ ______   ___ ____  __,dark pink,lilarot,lilac red,rose fonc  ,dark pink, _             ,french wines,magenta,magenta, _    ,red,  _   ,purplish red,bright burgundy,red,dark fushia,421.05,249.08
16,71,28,167128,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,gr _n,green,vert bouteille,bottle green, _      _,dark green,verde scuro,dark green,        _   ,dark green,           _,deep green,oak leaf green,green,dark green,281.45,307.91
170,13,3,170133,vino tinto,red wine,_   _   __  __,red,rot,red,id8,red,     _,red,rosso sangue,red blood,       _    ,dark red,  _,red,fire engine red,red,fire brick,447.21,295.69
0,171,246,171246,azul,blue,_____   _ ____,azure,blau,blue,id7,blue,        _,light blue,azzuro,aquamarine,    _ ,blue,        _     _     _        _,deep blue sky,bright sky blue,blue,bird egg blue,114.28,192.05
17,194,7,171947,verde pasto,green grass,___       _ ____  __ _ _ _ _ __  __,rich green,grasgr _n,grass green,vert pomme fonc  ,dark green apple,     _,green,sadsda,earth green,  _   ,green,   ,green,dark bright green,lime,scream green,257.2,413.85
17,69,48,176948,verde monte intenso,intense monte verde,  _ ______-_ _ _ _ __  __,dark green,tannengr _n,tannengr _n,vert,green,        _,dark green,verde,green,  _   ,green, _      _,dark green,underwater green,dark green,dark green,281.91,301.33
18,1,127,181127,azul obscuro,dark blue,  _ ______-  _ ___ __,dark blue,ultra blau,ultra blue,id7,blue,        _,navy blue,blu,blue, __   ,blue,   ,indigo,dark blue night,blue,royal  blue,278.33,199.58
18,71,54,187154,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert,green,     _,green,tyyg,color green,        _   ,dark green,         ,dark green,kelly green/dk green,dark green,dark green,267.36,296.02
18,85,43,188543,verde oscuro,dark green,    ______- _ _ _   __  __,dark green,gr _n,green,vert,green,     _,green,verde,green,  _   ,green,   ,green,mossy oak camo green,green,spruce green,271.12,310.67
188,70,6,188706,marron,brown,_ __  _   ___ __  __,brown,rotorange,orange,id8,red, _      _,dark orange,rosso mattone,brick red,  _   ,orange,  _   ,red-brown,dark dark orange,red,rusty orange,458.96,325.51
18,95,83,189583,verde,green,  _ ______-_ _ _ _ ____  __,dark green,blaugr _n,blue-green,vert bouteille fonc  ,dark green bottle,        _,army green,verde scuro,dark green, __      ,turquoise,                    _     _,aquamarine cloudy,aged green-blue,green,dark green,239.66,299.5
19,12,22,191222,negro,black,  _   __  __,black,schwarz,black,noir,black,     _,black,nero,black, _    ,black,                  ,off black,midnight black,black,black,311.63,297.91
0,194,186,194186,celeste,celestial,___   ____  __ _____   _ ____,matte blue,id7,id7,id7 turquoise,turquoise,        _,light blue,celeste,heavenly,  _ _ ,mint,     _,light blue,blue hints of green,teal,turquoise,153.56,274.15
196,0,80,196080,rojo,red,  ___   _ __ _   _   __  __,red light,rot,red,id8,red, _   _,pink,rosso,red,         ,pink,  _   ,purplish red,seductive pink,red,deep magenta,457.46,241.13
196,76,2,196762,rojo pardo,red brown,__  _ ___ _ __  __,orange,orange,orange,orange,orange,     _,orange,daa,iron color,      ,brown,     _           _   ,dark orange,chestnut brown,rust,burnt orange,462.1,319.45
198,56,2,198562,rojo,red,    _ __ _ __  _   ___ __  __,bright brown,dunkelorange,dark orange,orange fonc  ,dark orange,     _,orange,rosso,red,  _   ,orange,        _   ,orange,lightest brown,rust,red orange,475.53,313.82
201,25,0,201250,rojo oscuro,dark red,  _ ______ _   _   __  __,dark red,leuchtend rot,bright red,id8,red,     _,red,rosso fuoco,orange-red, _       ,red,  _,red,reddish orange,red,blood orange,485.61,298.75
20,13,77,201377,azul marino,navy,_ _  _,blue,dunkelblau,dark blue,id7,blue,     _,blue,blu scuro,dark blue, __   ,blue,      ,blue,black and blue,navy,royal blue,297.36,256.5
201,4,66,201466,rojo,red,_   _   __  __,red,himbeere,raspberry,id8,red,     _,red,rosso,red,        _       ,dark red,  _        _,broken red,red-ing rainbow,red,blood orange,461.89,254.3
204,4,70,204470,fucsia,fuchsia,  _ ______-_   _   __  __,dark-red,beere,berry,id8,red,     _,red,rosso,red,         ,hot pink,  _,red,bright magenta,red,pink passion,466.45,250.57
204,6,87,204687,rosa rojizo,reddish pink,  ___ ____  __ ___ ____,pink neon,rose,rose,rose pourpre,purple rose, _      _,pink,rosso,red,         ,pink,        _,rose color,fruit punch red,red,pink passion,465.82,235.1
20,53,26,205326,verde eclipse,eclipse green,_ _ _ _ __  __,green,olivgrau,olive gray,vert fonc  ,dark green,        _,dark green,verde nero,green black,                ,dark green,   ,green,dark forest green,mashed olives,mashed olives,301.13,305.4
206,88,1,206881,naranja oscuro,dark orange,__  _ ___ _ __  __,orange,orange,orange,orange clair,light orange,   ,orange,arancione,orange,      ,brown,     _,orange color,halloween orange,orange,rustic orange,467.39,328.79
208,65,9,208659,color naranja oscuro,dark orange,__  _ ___ _ __  __,orange,orange,orange,orange,orange,        _,soil orange,rosso sangue,red blood,      ,brown,  _,red,halloween orange,red,sunset orange,476.95,334.67
209,89,1,209891,mostaza fuerte,strong mustard,__  _ ___ _ __  __,orange,dunkelorange,dark orange,orange,orange,  _   ,yang orange,arancio,yang orange,       _    _      ,dark orange,        _   ,orange,pumpkin orange,orange,rustic orange,470.54,336.28
209,95,9,209959,naranja marron,orange brown,__  _ ___ _ __  __,orange,dunkel orange,dark orange,orange,orange,   ,orange,arancia,orange, _             ,old amber,  _   ,red-brown,pumpkin orange,rust,sunset orange,466.95,353
210,14,7,210147,rojo,red,_   _   __  __,red,rot,red,id8,red, _      _,is red,amore,red, _    ,red,     _                     ,sensual red,strawberry red,red,bright rust,493.65,287.51
2,112,36,211236,verde,green,    _ __-_ _ _ _ __  __,bright green,gr _n,green,vert presque bouteille clair,almost clear green bottle,     _,green,verde scuro,dark green,         ,green,   ,green,shade tree green,green,forest green,261.52,319.04
21,20,79,212079,azul obscuro,dark blue,____  _____  ___ _ __,the night sky,dunkelblau,dark blue,id7,blue,        _,navy blue,blu,blue,      ,navy,   ,indigo,the real navy blue,blue,deep navy,283.42,251.55
212,57,5,212575,naranja oscuro,dark orange,    _ _ __,red,rotorange,orange,id8,red,     _,red,orange,orange, _    ,red,  _,red,roasted orange,red,burnt orange,484.27,324.41
21,3,186,213186,azul francia,blue france,  _ ___ __,blue,blau,blue,id7,blue,   ,blue,blu,blue,    _ ,blue,   ,blue,bright dark blue,blue,dodger blue,247.55,159.91
21,33,47,213347,gris nocturno,gray night,_ __  ____  ,space,schwarz,black,id7 presque noir,blue almost black,     _,black,nero,black, _       ,black,   ,black,nightshade black,black,black,290.94,277.69
2,136,77,213677,verde,green,_ _ _ _ __  __,green,gr _n,green,vert fonc   fond,dark green background,     _,green,verde,green,  _   ,green,   ,green,dark jade green,green,forrest green,219.17,324.55
2,163,49,216349,verde,green,_ _ _ _ __  __,green,wald gr _n,forest green,vert,green,   ,green,verde,green,  _   ,green,   ,green,grasshopper green,green,grass green,232.59,354.31
21,68,73,216873,verde monte,green mount,__        _ ____  __,arsenic,ozeanblau,ocean blue,id7 marine,navy blue,     _,green,verde scuro,dark green,       __   ,jean ultramarine,           _  _,deep green,deep dark teal,green,green,276.39,276.15
217,7,53,217753,rojo,red,_   _   __  __,red,rot,red,id8,red,     _,red,rosso,red, _       ,red,  _,red,red delicious apple,red,merry fuschia,483.3,257.09
0,218,103,218103,verde,green,_ _ _ _ __  __,green,k _hles gr _n,cool green,vert pastel fonc  ,dark pastel green,     _,green,vernigitite,pale green,         ,green,   ,green,medium light green,green,lime green,165.36,397.88
2,182,42,218242,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,rosa,green,         ,green,   ,green,leprechaun green,green,valley green,218.8,382.25
2,196,88,219688,verde,green,_ _ _   __  __,green,gr _n,green,vert,"<condition percentage = ""0000""> green </condition>",   ,green,verde,green,  _   ,green,     _  _  _           _  _,turquoise green,whatever green,green,dark green,187.28,383.08
220,2,55,220255,rojo,red,_ _   _ ___   __  __,strawberry,kaminrot,carmine red,id8,red,     _,red,rosso,red, _       ,red,  _,red,bright dark pink,red,merry fuschia,492.84,242.34
222,24,4,222244,rojo,red,_   _   __  __,red,knallrot,scarlet,id8,red,   ,red,rosso,red,      ,red,  _        _  _,bright red,crimson scarlet,red,orangish red,502.5,295.36
22,226,1,222261,verde,green,_ _ _ _ __  __,green,leuchtend gr _n,bright green,vert,green,     _,green,verde,green,         ,green,   ,green,green light bright,lime,bright green,239.92,462.93
2,223,21,222321,verde,green,  _ _ _   ____  __,green,hellgr _n,lime,vert fluo,fluorescent green,   ,green,verde aperto,green open,  _   ,green,   ,green,electric green,lime,bright green,218.34,438.71
222,83,2,222832,color naranja,orange,__  _ ___ _ __  __,orange,dunkelorange,dark orange,orange,orange,     _,orange,arancione,orange,  _   ,orange, _  _      _,dusk color,tangerine dream,orange,reddish orange,476.24,341.32
2,233,71,223371,verde,green,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde brillante,green,  _   ,green,    _   _,grassland color,neon lights green,green,bright green,165.97,441.25
2,236,43,223643,verde,green,    _ __-  _ _ _   ____  __,bright green,t _rkisgr _n,turquoise green,vert clair,light green:,     _,green,verde,spring green,        _   ,bright green,   ,green,highlighter green,lime,yellow green,193.39,441.59
22,51,30,225130,verde obscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert tres fonc  ,very dark green,     _,green,nero,green,        _   ,dark green, _          ,dark green dark,dark spruce green,dark green,mashed olives,287.26,298.19
22,91,19,229119,verde oscuro,dark green,_ _ _   __  __,green,dunkelgr _n,dark green,vert,green,        _,army green,verde,green,  _   ,green, _      _,dark green,golf course green,forest green,forest green,287.42,327
0,230,141,230141,verde,green,___ _ ____-_ _ _   __  __,pale-green,gr _n,green,vert,green,     _,green,verde,green,         ,green,        _,green,bright spring green,mint,sea-foam green,136.77,373.37
23,133,1,231331,verde pasto,green grass,_ _ _ _ __  __,green,dunkelgr _n,dark green,vert,green,        _,army green,foresta verde,green,         ,green,        _  _,green,maple leaf green,green,forest green,282.5,368.02
23,16,54,231654,azul negro,black blue,      __  __,black,schwarz,black,id7 nuit sombre,dark blue night,        _,blue-black,blu,navy,            ,navy,           _  _           _,midnight blue,midnight purple,blue,dark purple,303.69,269.36
